Genome_ID,Species_current,Genus,Accession,Study_group
LABG_0425,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057736435.1,core_LAB
LABG_0426,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057736635.1,core_LAB
LABG_0427,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057785035.1,core_LAB
LABG_0428,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057786755.1,core_LAB
LABG_0429,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057815115.1,core_LAB
LABG_0430,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_057895855.1,core_LAB
LABG_0431,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058066585.1,core_LAB
LABG_0432,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058091815.1,core_LAB
LABG_0433,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134385.1,core_LAB
LABG_0434,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134395.1,core_LAB
LABG_0435,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134425.1,core_LAB
LABG_0436,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_058134445.1,core_LAB
LABG_0437,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134455.1,core_LAB
LABG_0438,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134485.1,core_LAB
LABG_0439,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134505.1,core_LAB
LABG_0440,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134515.1,core_LAB
LABG_0441,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134545.1,core_LAB
LABG_0442,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134565.1,core_LAB
LABG_0443,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134575.1,core_LAB
LABG_0444,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_058134605.1,core_LAB
LABG_0445,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134625.1,core_LAB
LABG_0446,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134635.1,core_LAB
LABG_0447,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_058134665.1,core_LAB
LABG_0448,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_058134675.1,core_LAB
LABG_0449,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_058134705.1,core_LAB
LABG_0450,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_058134725.1,core_LAB
LABG_0451,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_058134735.1,core_LAB
LABG_0452,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134785.1,core_LAB
LABG_0453,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134795.1,core_LAB
LABG_0454,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134825.1,core_LAB
LABG_0455,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134845.1,core_LAB
LABG_0456,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134875.1,core_LAB
LABG_0457,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134895.1,core_LAB
LABG_0458,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_058134935.1,core_LAB
LABG_0459,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058134955.1,core_LAB
LABG_0460,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058135345.1,core_LAB
LABG_0461,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_058135385.1,core_LAB
LABG_0462,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058135485.1,core_LAB
LABG_0463,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_058437055.1,core_LAB
LABG_0464,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_059031825.1,core_LAB
LABG_0465,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_059488785.1,core_LAB
LABG_0466,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_059547555.1,core_LAB
LABG_0467,Lactiplantibacillus carotarum,Lactiplantibacillus,GCF_947539765.1,core_LAB
LABG_0468,Lactiplantibacillus xiangfangensis,Lactiplantibacillus,GCF_963243495.1,core_LAB
LABG_0469,Lactiplantibacillus pentosus,Lactiplantibacillus,GCF_964063425.1,core_LAB
LABG_0470,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_964065245.1,core_LAB
LABG_0471,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_964065445.1,core_LAB
LABG_0472,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_964084915.1,core_LAB
LABG_0473,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_964200455.1,core_LAB
LABG_0474,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_965286275.1,core_LAB
LABG_0475,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_965286285.1,core_LAB
LABG_0476,Lactiplantibacillus argentoratensis,Lactiplantibacillus,GCF_965286295.1,core_LAB
LABG_0477,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_965286415.1,core_LAB
LABG_0478,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_965286495.1,core_LAB
LABG_0479,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_965286625.1,core_LAB
LABG_0480,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_982553825.1,core_LAB
LABG_0481,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_982553985.1,core_LAB
LABG_0482,Lactiplantibacillus plantarum,Lactiplantibacillus,GCF_982554065.1,core_LAB
LABG_0483,Lactobacillus acidophilus,Lactobacillus,GCF_034298135.1,core_LAB
LABG_0484,Lactobacillus brevis,Lactobacillus,GCF_900475625.1,core_LAB
LABG_0485,Lactobacillus casei,Lactobacillus,GCF_000829055.1,core_LAB
LABG_0486,Lactobacillus crispatus,Lactobacillus,GCF_009769205.1,core_LAB
LABG_0487,Lactobacillus delbrueckii subsp. bulgaricus,Lactobacillus,GCF_000056065.1,core_LAB
LABG_0488,Lactobacillus farciminis,Lactobacillus,GCF_002706745.1,core_LAB
LABG_0489,Lactobacillus fermentum,Lactobacillus,GCF_005341425.1,core_LAB
LABG_0490,Lactobacillus gasseri,Lactobacillus,GCF_000014425.1,core_LAB
LABG_0491,Lactobacillus helveticus,Lactobacillus,GCF_046109915.1,core_LAB
LABG_0492,Lactobacillus johnsonii,Lactobacillus,GCF_014058685.1,core_LAB
